# Coordinated beginning of month and monthly mean lakewide average water levels for Lake Erie
# Units: meters above IGLD 1985
# Coordinated period:  Jan 1918 through previous December
# Coordinated by the Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data
# www.GreatLakesCC.org
#
"Year","Month","Beginning of Month","Monthly Mean"
1943,7,174.54,174.57
1943,8,174.55,174.49
1943,9,174.42,174.36
1943,10,174.29,174.24
1943,11,174.21,174.16
1943,12,174.13,174.07
1944,1,174.02,173.93
1944,2,173.87,173.88
1944,3,173.89,173.92
1944,4,173.98,174.17
1944,5,174.28,174.33
1944,6,174.38,174.37
1944,7,174.38,174.32
1944,8,174.25,174.21
1944,9,174.15,174.12
1944,10,174.09,174.02
1944,11,173.96,173.94
1944,12,173.91,173.89
1945,1,173.88,173.84
1945,2,173.78,173.76
1945,3,173.81,173.96
1945,4,174.09,174.17
1945,5,174.2,174.28
1945,6,174.36,174.43
1945,7,174.48,174.46
1945,8,174.45,174.39
1945,9,174.31,174.29
1945,10,174.33,174.32
1945,11,174.28,174.22
1945,12,174.2,174.14
1946,1,174.11,174.14
1946,2,174.07,174
1946,3,173.99,174.11
1946,4,174.17,174.17
1946,5,174.16,174.21
1946,6,174.28,174.36
1946,7,174.42,174.39
1946,8,174.35,174.28
1946,9,174.19,174.14
1946,10,174.08,174.02
1946,11,174,173.95
1946,12,173.9,173.86
1947,1,173.86,173.84
1947,2,173.89,173.84
1947,3,173.79,173.81
1947,4,173.93,174.18
1947,5,174.37,174.48
1947,6,174.56,174.66
1947,7,174.63,174.58
1947,8,174.53,174.5
1947,9,174.49,174.42
1947,10,174.3,174.26
1947,11,174.24,174.15
1947,12,174.08,174.1
1948,1,174.11,174.08
1948,2,174.01,173.99
1948,3,174.06,174.14
1948,4,174.32,174.38
1948,5,174.42,174.5
1948,6,174.53,174.51
1948,7,174.52,174.48
1948,8,174.42,174.37
1948,9,174.31,174.24
1948,10,174.15,174.06
1948,11,174.02,173.98
1948,12,173.96,173.92
1949,1,173.91,173.96
1949,2,174,174.02
1949,3,174.1,174.06
1949,4,174.09,174.12
1949,5,174.14,174.15
1949,6,174.17,174.15
1949,7,174.16,174.12
1949,8,174.1,174.03
1949,9,173.97,173.91
1949,10,173.84,173.82
1949,11,173.75,173.68
1949,12,173.67,173.66
1950,1,173.72,173.9
1950,2,174.02,174.07
1950,3,174.06,174.08
1950,4,174.21,174.31
1950,5,174.38,174.36
1950,6,174.32,174.31
1950,7,174.27,174.25
1950,8,174.22,174.14
1950,9,174.13,174.1
1950,10,174.05,174.03
1950,11,174,173.97
1950,12,174.01,174.1
1951,1,174.05,174.1
1951,2,174.09,174.11
1951,3,174.21,174.32
1951,4,174.41,174.48
1951,5,174.52,174.54
1951,6,174.55,174.54
1951,7,174.54,174.5
1951,8,174.47,174.42
1951,9,174.36,174.3
1951,10,174.23,174.2
1951,11,174.16,174.17
1951,12,174.18,174.21
1952,1,174.24,174.36
1952,2,174.5,174.55
1952,3,174.54,174.6
1952,4,174.67,174.74
1952,5,174.77,174.76
1952,6,174.78,174.74
1952,7,174.72,174.68
1952,8,174.62,174.6
1952,9,174.56,174.51
1952,10,174.44,174.32
1952,11,174.21,174.18
1952,12,174.18,174.2
1953,1,174.21,174.24
1953,2,174.27,174.25
1953,3,174.25,174.31
1953,4,174.37,174.38
1953,5,174.41,174.47
1953,6,174.54,174.56
1953,7,174.56,174.53
1953,8,174.5,174.48
1953,9,174.43,174.35
1953,10,174.27,174.22
1953,11,174.15,174.12
1953,12,174.12,174.06
1954,1,174.03,174.02
1954,2,173.99,173.99
1954,3,174.06,174.14
1954,4,174.26,174.4
1954,5,174.5,174.49
1954,6,174.45,174.46
1954,7,174.44,174.42
1954,8,174.38,174.35
1954,9,174.31,174.25
1954,10,174.21,174.31
1954,11,174.36,174.32
1954,12,174.31,174.31
1955,1,174.31,174.38
1955,2,174.32,174.3
1955,3,174.35,174.47
1955,4,174.53,174.57
1955,5,174.61,174.57
1955,6,174.54,174.53
1955,7,174.47,174.46
1955,8,174.41,174.4
