# Niagara River and Welland Canal Monthly Flow
# Units = cms
#Stage Fall Discharge Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
#Coordinated Data Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
# Created by Heather Lucier
# Last modified 2020-05-06 15:05:45 by JKP
#
"Year","Month","Niagara+Welland(SFD+ADVM)","Niagara+Welland (Coordinated)"
2001,7,5475,5475
2001,8,5442,5442
2001,9,5238,5238
2001,10,5479,5479
2001,11,5335,5335
2001,12,5695,5695
2002,1,5669,5669
2002,2,5961,5961
2002,3,5904,5904
2002,4,6160,6160
2002,5,6415,6415
2002,6,6263,6263
2002,7,6006,6006
2002,8,5789,5789
2002,9,5614,5614
2002,10,5491,5491
2002,11,5518,5518
2002,12,5542,5542
2003,1,5289,5289
2003,2,5133,5133
2003,3,5220,5220
2003,4,5405,5405
2003,5,5846,5846
2003,6,5813,5813
2003,7,5875,5875
2003,8,5882,5882
2003,9,5679,5679
2003,10,5635,5635
2003,11,5639,5639
2003,12,5690,5690
2004,1,5772,5772
2004,2,5369,5369
2004,3,5646,5646
2004,4,5927,5927
2004,5,6192,6192
2004,6,6260,6260
2004,7,6256,6256
2004,8,6182,6182
2004,9,6023,6023
2004,10,5910,5910
2004,11,5801,5801
2004,12,6008,6008
2005,1,6210,6210
2005,2,6299,6299
2005,3,6346,6346
2005,4,6568,6568
2005,5,6526,6526
2005,6,6254,6254
2005,7,6063,6063
2005,8,5795,5795
2005,9,5644,5644
2005,10,5443,5443
2005,11,5759,5759
2005,12,5575,5575
2006,1,5699,5699
2006,2,6018,6018
2006,3,5861,5861
2006,4,5882,5882
2006,5,5936,5936
2006,6,5690,5690
2006,7,6159,6159
2006,8,5932,5932
2006,9,5849,5849
2006,10,6157,6157
2006,11,5875,5875
2006,12,6322,6322
2007,1,6556,6556
2007,2,5880,5880
2007,3,6130,6130
2007,4,6156,6156
2007,5,6375,6375
2007,6,5956,5956
2007,7,5690,5690
2007,8,5746,5746
2007,9,5692,5692
2007,10,5532,5532
2007,11,5404,5404
2007,12,5648,5648
2008,1,5816,5816
2008,2,5650,5650
2008,3,6262,6262
2008,4,6507,6507
2008,5,6474,6474
2008,6,6191,6191
2008,7,6339,6339
2008,8,6025,6025
2008,9,5778,5778
2008,10,5710,5710
2008,11,5681,5681
2008,12,6059,6059
2009,1,5823,NA
2009,2,5977,NA
2009,3,6331,NA
2009,4,6477,NA
2009,5,6642,NA
2009,6,6333,NA
2009,7,6485,NA
2009,8,6358,NA
2009,9,6078,NA
2009,10,6013,NA
2009,11,5818,NA
2009,12,6088,NA
2010,1,5752,NA
2010,2,5431,NA
2010,3,5563,NA
2010,4,5854,NA
2010,5,6044,NA
2010,6,6173,NA
2010,7,6153,NA
2010,8,5873,NA
2010,9,5633,NA
2010,10,5543,NA
2010,11,5460,NA
2010,12,5615,NA
2011,1,5291,NA
2011,2,5122,NA
2011,3,5772,NA
2011,4,6046,NA
2011,5,6659,NA
2011,6,6793,NA
2011,7,6438,NA
2011,8,6334,NA
2011,9,6060,NA
2011,10,6280,NA
2011,11,6233,NA
2011,12,6829,NA
2012,1,6929,NA
2012,2,6714,NA
2012,3,6489,NA
2012,4,6295,NA
2012,5,5999,NA
2012,6,5913,NA
2012,7,5694,NA
2012,8,5537,NA
2012,9,5354,NA
2012,10,5194,NA
2012,11,5371,NA
2012,12,5269,NA
2013,1,5583,NA
2013,2,5449,NA
2013,3,5463,NA
2013,4,5686,NA
2013,5,5807,NA
2013,6,5834,NA
2013,7,6081,NA
2013,8,5985,NA
2013,9,5691,NA
2013,10,5937,NA
2013,11,5962,NA
2013,12,5816,NA
2014,1,5482,NA
2014,2,5471,NA
2014,3,5589,NA
2014,4,6020,NA
2014,5,6330,NA
2014,6,6240,NA
2014,7,6380,NA
2014,8,6290,NA
2014,9,6270,NA
2014,10,6300,NA
2014,11,6360,NA
2014,12,6226,NA
2015,1,6000,NA
2015,2,5740,NA
2015,3,5690,NA
2015,4,6150,NA
2015,5,6330,NA
2015,6,6660,NA
2015,7,7170,NA
2015,8,7000,NA
2015,9,6640,NA
2015,10,6420,NA
2015,11,6440,NA
2015,12,6240,NA
2016,1,6520,NA
2016,2,6460,NA
2016,3,6580,NA
2016,4,6940,NA
2016,5,7100,NA
2016,6,6840,NA
2016,7,6760,NA
2016,8,6520,NA
2016,9,6260,NA
2016,10,6250,NA
2016,11,6310,NA
2016,12,6470,NA
2017,1,6470,NA
2017,2,6690,NA
2017,3,6650,NA
2017,4,7040,NA
2017,5,7440,NA
2017,6,7370,NA
2017,7,7320,NA
2017,8,7110,NA
2017,9,6720,NA
2017,10,6780,NA
2017,11,6950,NA
2017,12,6940,NA
2018,1,6480,NA
2018,2,6690,NA
2018,3,7070,NA
2018,4,7410,NA
2018,5,7580,NA
2018,6,7450,NA
2018,7,7200,NA
2018,8,7110,NA
2018,9,6850,NA
2018,10,6920,NA
2018,11,7130,NA
2018,12,7080,NA
2019,1,7130,NA
2019,2,6970,NA
2019,3,6970,NA
2019,4,7220,NA
2019,5,8020,NA
2019,6,8230,NA
2019,7,8010,NA
2019,8,7840,NA
2019,9,7530,NA
2019,10,7380,NA
2019,11,7460,NA
2019,12,7340,NA
2020,1,7740,NA
2020,2,7910,NA
2020,3,7858,NA
2020,4,8278,NA
2020,5,NA,NA
