# St.Marys River Monthly Flow
# Units = cms
#IGS Data Source: H:\SHARE\H&H\GL_H&HData & Reports\WaterBudgetTracking\L2SWBM\Daily\IGSdaily.csv
#Stage Fall Discharge Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
#Coordinated Data Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
# Created by Heather Lucier
# Last modified 2020-05-06 15:05:33 by JKP
#
"Year","Month","St.Marys (IGS)","St. Marys (Flow Accounting)","St. Marys (Coordinated)"
1979,1,NA,1900,1900
1979,2,NA,1900,1900
1979,3,NA,1900,1900
1979,4,NA,1900,1900
1979,5,NA,2320,2320
1979,6,NA,2750,2750
1979,7,NA,3170,3170
1979,8,NA,3230,3230
1979,9,NA,3200,3200
1979,10,NA,2750,2750
1979,11,NA,2610,2610
1979,12,NA,2290,2290
1980,1,NA,2120,2120
1980,2,NA,2120,2120
1980,3,NA,2100,2100
1980,4,NA,2150,2150
1980,5,NA,2410,2410
1980,6,NA,2270,2270
1980,7,NA,2180,2180
1980,8,NA,2100,2100
1980,9,NA,2040,2040
1980,10,NA,2320,2320
1980,11,NA,2350,2350
1980,12,NA,1900,1900
1981,1,NA,1900,1900
1981,2,NA,1900,1900
1981,3,NA,1900,1900
1981,4,NA,2120,2120
1981,5,NA,2490,2490
1981,6,NA,2720,2720
1981,7,NA,2920,2920
1981,8,NA,2750,2750
1981,9,NA,2290,2290
1981,10,NA,1360,1360
1981,11,NA,1250,1250
1981,12,NA,1300,1300
1982,1,NA,1270,1270
1982,2,NA,1270,1270
1982,3,NA,1270,1270
1982,4,NA,1300,1300
1982,5,NA,1730,1730
1982,6,NA,2100,2100
1982,7,NA,2210,2210
1982,8,NA,2380,2380
1982,9,NA,2410,2410
1982,10,NA,2520,2520
1982,11,NA,2830,2830
1982,12,NA,2800,2800
1983,1,NA,2290,2290
1983,2,NA,2320,2320
1983,3,NA,2460,2460
1983,4,NA,2440,2440
1983,5,NA,2920,2920
1983,6,NA,2940,2940
1983,7,NA,2920,2920
1983,8,NA,3000,3000
1983,9,NA,2380,2380
1983,10,NA,1700,1700
1983,11,NA,2410,2410
1983,12,NA,2380,2380
1984,1,NA,2290,2290
1984,2,NA,2150,2150
1984,3,NA,2290,2290
1984,4,NA,2290,2290
1984,5,NA,2800,2800
1984,6,NA,2830,2830
1984,7,NA,3030,3030
1984,8,NA,3110,3110
1984,9,NA,2920,2920
1984,10,NA,2100,2100
1984,11,NA,1610,1610
1984,12,NA,1930,1930
1985,1,NA,1980,1980
1985,2,NA,1980,1980
1985,3,NA,2010,2010
1985,4,NA,1980,1980
1985,5,NA,1980,1980
1985,6,NA,1930,1930
1985,7,NA,1900,1900
1985,8,NA,2320,2320
1985,9,NA,2890,2890
1985,10,NA,3450,3450
1985,11,NA,3740,3740
1985,12,NA,2920,2920
1986,1,NA,2410,2410
1986,2,NA,2440,2440
1986,3,NA,2410,2410
1986,4,NA,2290,2290
1986,5,NA,3000,3000
1986,6,NA,3230,3230
1986,7,NA,3140,3140
1986,8,NA,3230,3230
1986,9,NA,3060,3060
1986,10,NA,2440,2440
1986,11,NA,1640,1640
1986,12,NA,1980,1980
1987,1,NA,2010,2010
1987,2,NA,1980,1980
1987,3,NA,2010,2010
1987,4,NA,2010,2010
1987,5,NA,2410,2410
1987,6,NA,2180,2180
1987,7,NA,1590,1590
1987,8,NA,1560,1560
1987,9,NA,1560,1560
1987,10,NA,1670,1670
1987,11,NA,1560,1560
1987,12,NA,1560,1560
1988,1,NA,1780,1780
1988,2,NA,1780,1780
1988,3,NA,1780,1780
1988,4,NA,1780,1780
1988,5,NA,1980,1980
1988,6,NA,1930,1930
1988,7,NA,1590,1590
1988,8,NA,1590,1590
1988,9,NA,1980,1980
1988,10,NA,1900,1900
1988,11,NA,1590,1590
1988,12,NA,2270,2270
1989,1,NA,2240,2240
1989,2,NA,2270,2270
1989,3,NA,2180,2180
1989,4,NA,2210,2210
1989,5,NA,2630,2630
1989,6,NA,2660,2660
1989,7,NA,2660,2660
1989,8,NA,2610,2610
1989,9,NA,2410,2410
1989,10,NA,2040,2040
1989,11,NA,1900,1900
1989,12,NA,1900,1900
1990,1,NA,1900,1900
1990,2,NA,1900,1900
1990,3,NA,1900,1900
1990,4,NA,1890,1890
1990,5,NA,2040,2040
1990,6,NA,1600,1600
1990,7,NA,1860,1860
1990,8,NA,1830,1830
1990,9,NA,1840,1840
1990,10,NA,1670,1670
1990,11,NA,1860,1860
1990,12,NA,1720,1720
1991,1,NA,1570,1570
1991,2,NA,1560,1560
1991,3,NA,1560,1560
1991,4,NA,1930,1930
1991,5,NA,2140,2140
1991,6,NA,2150,2150
1991,7,NA,2180,2180
1991,8,NA,2480,2480
1991,9,NA,1950,1950
1991,10,NA,1930,1930
1991,11,NA,1980,1980
1991,12,NA,2340,2340
1992,1,NA,2270,2270
1992,2,NA,2270,2270
1992,3,NA,2180,2180
1992,4,NA,2160,2160
1992,5,NA,2280,2280
1992,6,NA,2320,2320
1992,7,NA,2120,2120
1992,8,NA,2330,2330
1992,9,NA,2200,2200
1992,10,NA,2290,2290
1992,11,NA,2230,2230
1992,12,NA,2120,2120
1993,1,NA,2260,2260
1993,2,NA,2290,2290
1993,3,NA,2040,2040
1993,4,NA,2110,2110
1993,5,NA,2190,2190
1993,6,NA,2430,2430
1993,7,NA,2230,2230
1993,8,NA,2210,2210
1993,9,NA,2110,2110
1993,10,NA,2130,2130
1993,11,NA,2130,2130
1993,12,NA,2050,2050
1994,1,NA,2120,2120
1994,2,NA,2150,2150
1994,3,NA,2130,2130
1994,4,NA,2060,2060
1994,5,NA,2390,2390
1994,6,NA,2340,2340
1994,7,NA,2200,2200
1994,8,NA,2210,2210
1994,9,NA,2140,2140
1994,10,NA,2140,2140
1994,11,NA,2170,2170
1994,12,NA,2190,2190
1995,1,NA,2170,2170
1995,2,NA,2040,2040
1995,3,NA,1730,1730
1995,4,NA,1820,1820
1995,5,NA,1950,1950
1995,6,NA,1860,1860
1995,7,NA,1700,1700
1995,8,NA,1990,1990
1995,9,NA,1730,1730
1995,10,NA,1960,1960
1995,11,NA,2260,2260
1995,12,NA,2050,2050
1996,1,NA,2050,2050
1996,2,NA,2000,2000
1996,3,NA,2010,2010
1996,4,NA,1980,1980
1996,5,NA,2280,2280
1996,6,NA,2460,2460
1996,7,NA,2600,2600
1996,8,NA,2680,2680
1996,9,NA,3160,3160
1996,10,NA,3570,3570
1996,11,NA,3180,3180
1996,12,NA,2350,2350
1997,1,NA,2260,2260
1997,2,NA,2290,2290
1997,3,NA,2300,2300
1997,4,NA,2410,2410
1997,5,NA,2960,2960
1997,6,NA,3190,3190
1997,7,NA,3260,3260
1997,8,NA,2790,2790
1997,9,NA,2050,2050
1997,10,NA,1920,1920
1997,11,NA,1800,1800
1997,12,NA,1800,1800
1998,1,NA,1820,1820
1998,2,NA,1800,1800
1998,3,NA,1980,1980
1998,4,NA,1950,1950
1998,5,NA,2030,2030
1998,6,NA,1800,1800
1998,7,NA,1800,1800
1998,8,NA,1590,1590
1998,9,NA,1550,1550
1998,10,NA,1560,1560
1998,11,NA,1560,1560
1998,12,NA,1570,1570
1999,1,NA,1570,1570
1999,2,NA,1570,1570
1999,3,NA,1570,1570
1999,4,NA,1520,1520
1999,5,NA,1550,1550
1999,6,NA,2070,2070
1999,7,NA,2180,2180
1999,8,NA,2490,2490
1999,9,NA,2450,2450
1999,10,NA,2220,2220
1999,11,NA,2020,2020
1999,12,NA,2040,2040
2000,1,NA,1900,1900
2000,2,NA,1780,1780
2000,3,NA,1720,1720
2000,4,NA,1850,1850
2000,5,NA,1870,1870
2000,6,NA,1720,1720
2000,7,NA,2080,2080
2000,8,NA,2180,2180
2000,9,NA,1930,1930
2000,10,NA,1560,1560
2000,11,NA,1570,1570
2000,12,NA,1580,1580
2001,1,NA,1600,1600
2001,2,NA,1570,1570
2001,3,NA,1540,1540
2001,4,NA,1540,1540
2001,5,NA,1980,1980
2001,6,NA,2120,2120
2001,7,NA,2290,2290
2001,8,NA,2240,2240
2001,9,NA,2230,2230
2001,10,NA,1960,1960
2001,11,NA,1740,1740
2001,12,NA,1950,1950
2002,1,NA,2020,2020
2002,2,NA,1900,1900
2002,3,NA,1810,1810
2002,4,NA,1840,1840
2002,5,NA,2050,2050
2002,6,NA,2150,2150
2002,7,NA,2240,2240
2002,8,NA,2270,2270
2002,9,NA,2270,2270
2002,10,NA,2180,2180
2002,11,NA,2220,2220
2002,12,NA,2090,2090
2003,1,NA,1880,1880
2003,2,NA,1750,1750
2003,3,NA,1670,1670
2003,4,NA,1780,1780
2003,5,NA,1970,1970
2003,6,NA,2170,2170
2003,7,NA,2020,2020
2003,8,NA,2100,2100
2003,9,NA,2000,2000
2003,10,NA,2040,2040
2003,11,NA,1740,1740
2003,12,NA,1780,1780
2004,1,NA,1690,1690
2004,2,NA,1760,1760
2004,3,NA,1740,1740
2004,4,NA,1840,1840
2004,5,NA,2020,2020
2004,6,NA,2220,2220
2004,7,NA,2260,2260
2004,8,NA,2280,2280
2004,9,NA,2330,2330
2004,10,NA,2260,2260
2004,11,NA,2360,2360
2004,12,NA,2250,2250
2005,1,NA,2080,2080
2005,2,NA,2030,2030
2005,3,NA,2020,2020
2005,4,NA,1990,1990
2005,5,NA,2140,2140
2005,6,NA,2250,2250
2005,7,NA,3080,3080
2005,8,NA,2620,2620
2005,9,NA,2170,2170
2005,10,NA,1900,1900
2005,11,NA,2160,2160
2005,12,NA,2110,2110
2006,1,NA,1970,1970
2006,2,NA,1940,1940
2006,3,NA,1840,1840
2006,4,NA,1890,1890
2006,5,NA,1910,1910
2006,6,NA,2150,2150
2006,7,NA,2140,2140
2006,8,NA,2180,2180
2006,9,NA,1770,1770
2006,10,NA,1570,1570
2006,11,NA,1570,1570
2006,12,NA,1570,1570
2007,1,NA,1540,1540
2007,2,NA,1360,1360
2007,3,NA,1280,1280
2007,4,NA,1390,1390
2007,5,NA,1490,1490
2007,6,NA,1510,1510
2007,7,NA,1530,1530
2007,8,NA,1540,1540
2007,9,NA,1560,1560
2007,10,NA,1560,1560
2007,11,NA,1570,1570
2007,12,NA,1650,1650
2008,1,NA,1730,1730
2008,2,NA,1690,1690
2008,3,NA,1620,1620
2008,4,NA,1590,1590
2008,5,NA,1710,1710
2008,6,NA,2070,2070
2008,7,NA,2230,2230
2008,8,NA,2440,2440
2008,9,NA,2240,2240
2008,10,NA,2040,2040
2008,11,1526,1680,1680
2008,12,1601,1720,1720
2009,1,1316,1570,NA
2009,2,1328,1550,NA
2009,3,1405,1560,NA
2009,4,1402,1590,NA
2009,5,1734,1920,NA
2009,6,2032,2120,NA
2009,7,1877,1930,NA
2009,8,1691,1810,NA
2009,9,2155,2110,NA
2009,10,1842,1800,NA
2009,11,1807,1780,NA
2009,12,1788,1780,NA
2010,1,2079,2000,NA
2010,2,1620,1750,NA
2010,3,1470,1550,NA
2010,4,1638,1690,NA
2010,5,1528,1550,NA
2010,6,1582,1550,NA
2010,7,1613,1550,NA
2010,8,1591,1550,NA
2010,9,1562,1540,NA
2010,10,1520,1550,NA
2010,11,1503,1560,NA
2010,12,1509,1570,NA
2011,1,1313,1560,NA
2011,2,1196,1540,NA
2011,3,1286,1470,NA
2011,4,1357,1470,NA
2011,5,1501,1550,NA
2011,6,1609,1630,NA
2011,7,1756,1720,NA
2011,8,1763,1740,NA
2011,9,1602,1650,NA
2011,10,1527,1560,NA
2011,11,1509,1560,NA
2011,12,1156,1560,NA
2012,1,1502,1560,NA
2012,2,1492,1570,NA
2012,3,1361,1500,NA
2012,4,1490,1570,NA
2012,5,1504,1560,NA
2012,6,1603,1660,NA
2012,7,2042,2090,NA
2012,8,2092,2160,NA
2012,9,1753,1850,NA
2012,10,1410,1530,NA
2012,11,1506,1620,NA
2012,12,1473,1570,NA
2013,1,1464,1570,NA
2013,2,1243,1560,NA
2013,3,1485,1540,NA
2013,4,1484,1540,NA
2013,5,1572,1570,NA
2013,6,2158,2050,NA
2013,7,2335,2190,NA
2013,8,2678,2690,NA
2013,9,2675,2790,NA
2013,10,2613,2790,NA
2013,11,2170,2280,NA
2013,12,2190,2180,NA
2014,1,1952,2070,NA
2014,2,1846,1970,NA
2014,3,1748,1970,NA
2014,4,1992,2020,NA
2014,5,2344,2360,NA
2014,6,2685,2700,NA
2014,7,3168,3260,NA
2014,8,3190,3280,NA
2014,9,2900,2910,NA
2014,10,3054,3040,NA
2014,11,3000,2950,NA
2014,12,2560,2380,NA
2015,1,2323,2210,NA
2015,2,2184,2190,NA
2015,3,2046,2200,NA
2015,4,2094,1950,NA
2015,5,2496,2450,NA
2015,6,2760,2720,NA
2015,7,3128,3080,NA
2015,8,3137,3070,NA
2015,9,2816,2770,NA
2015,10,2800,2780,NA
2015,11,2365,2220,NA
2015,12,2463,2320,NA
2016,1,2601,2440,NA
2016,2,2582,2400,NA
2016,3,2575,2400,NA
2016,4,2298,2170,NA
2016,5,2538,2400,NA
2016,6,2609,2460,NA
2016,7,3095,2890,NA
2016,8,3182,3010,NA
2016,9,2649,2490,NA
2016,10,2838,2740,NA
2016,11,2673,2570,NA
2016,12,2539,2380,NA
2017,1,2337,2190,NA
2017,2,2535,2300,NA
2017,3,2532,2310,NA
2017,4,2356,2150,NA
2017,5,2110,1920,NA
2017,6,2569,2300,NA
2017,7,3340,3250,NA
2017,8,3380,3300,NA
2017,9,2870,2800,NA
2017,10,3126,3100,NA
2017,11,3084,3080,NA
2017,12,2279,2240,NA
2018,1,1866,2060,NA
2018,2,1904,2100,NA
2018,3,2352,2470,NA
2018,4,2483,2270,NA
2018,5,2521,2320,NA
2018,6,2713,2470,NA
2018,7,2723,2510,NA
2018,8,2866,2770,NA
2018,9,2692,2620,NA
2018,10,2663,2700,NA
2018,11,2754,2970,NA
2018,12,2226,2230,NA
2019,1,2248,2370,NA
2019,2,2478,2510,NA
2019,3,2520,2550,NA
2019,4,2420,2210,NA
2019,5,2385,2320,NA
2019,6,2767,2710,NA
2019,7,3012,3030,NA
2019,8,3050,3180,NA
2019,9,2942,3100,NA
2019,10,2738,2870,NA
2019,11,2916,2960,NA
2019,12,2647,2490,NA
2020,1,2540,2370,NA
2020,2,2421,2430,NA
2020,3,NA,2370,NA
2020,4,2562,2260,NA
2020,5,2754,NA,NA
