# St.Clair River Monthly Flow
# Units = cms
#IGS Data Source: H:\SHARE\H&H\GL_H&HData & Reports\WaterBudgetTracking\L2SWBM\Daily\IGSdaily.csv
#Stage Fall Discharge Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
#Coordinated Data Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
# Created by Heather Lucier
# Last modified 2020-05-06 15:05:37 by JKP
#
"Year","Month","St.Clair (IGS)","St. Clair (SFD+ADVM)","St. Clair (Coordinated)"
1978,12,NA,5440,5440
1979,1,NA,4500,4500
1979,2,NA,4730,4730
1979,3,NA,5320,5320
1979,4,NA,5550,5550
1979,5,NA,5950,5950
1979,6,NA,6000,6000
1979,7,NA,6120,6120
1979,8,NA,6200,6200
1979,9,NA,6120,6120
1979,10,NA,5970,5970
1979,11,NA,5890,5890
1979,12,NA,5800,5800
1980,1,NA,5690,5690
1980,2,NA,5580,5580
1980,3,NA,5490,5490
1980,4,NA,5610,5610
1980,5,NA,5780,5780
1980,6,NA,5890,5890
1980,7,NA,5950,5950
1980,8,NA,5920,5920
1980,9,NA,5920,5920
1980,10,NA,5920,5920
1980,11,NA,5830,5830
1980,12,NA,5660,5660
1981,1,NA,4670,4670
1981,2,NA,5210,5210
1981,3,NA,5580,5580
1981,4,NA,5610,5610
1981,5,NA,5780,5780
1981,6,NA,5780,5780
1981,7,NA,5830,5830
1981,8,NA,5800,5800
1981,9,NA,5860,5860
1981,10,NA,5660,5660
1981,11,NA,5660,5660
1981,12,NA,5550,5550
1982,1,NA,4620,4620
1982,2,NA,4590,4590
1982,3,NA,4960,4960
1982,4,NA,5180,5180
1982,5,NA,5490,5490
1982,6,NA,5520,5520
1982,7,NA,5580,5580
1982,8,NA,5720,5720
1982,9,NA,5720,5720
1982,10,NA,5640,5640
1982,11,NA,5610,5610
1982,12,NA,5490,5490
1983,1,NA,5470,5470
1983,2,NA,5470,5470
1983,3,NA,5640,5640
1983,4,NA,5610,5610
1983,5,NA,5780,5780
1983,6,NA,6060,6060
1983,7,NA,6120,6120
1983,8,NA,6000,6000
1983,9,NA,6000,6000
1983,10,NA,5950,5950
1983,11,NA,5800,5800
1983,12,NA,5380,5380
1984,1,NA,4390,4390
1984,2,NA,5410,5410
1984,3,NA,5210,5210
1984,4,NA,3680,3680
1984,5,NA,6000,6000
1984,6,NA,6120,6120
1984,7,NA,6170,6170
1984,8,NA,6170,6170
1984,9,NA,6120,6120
1984,10,NA,6090,6090
1984,11,NA,6060,6060
1984,12,NA,6030,6030
1985,1,NA,5580,5580
1985,2,NA,5410,5410
1985,3,NA,5750,5750
1985,4,NA,6000,6000
1985,5,NA,6370,6370
1985,6,NA,6430,6430
1985,7,NA,6370,6370
1985,8,NA,6370,6370
1985,9,NA,6370,6370
1985,10,NA,6370,6370
1985,11,NA,6260,6260
1985,12,NA,6120,6120
1986,1,NA,5520,5520
1986,2,NA,5610,5610
1986,3,NA,5830,5830
1986,4,NA,6260,6260
1986,5,NA,6370,6370
1986,6,NA,6400,6400
1986,7,NA,6540,6540
1986,8,NA,6630,6630
1986,9,NA,6600,6600
1986,10,NA,6740,6740
1986,11,NA,6650,6650
1986,12,NA,6230,6230
1987,1,NA,6190,6190
1987,2,NA,5730,5730
1987,3,NA,5840,5840
1987,4,NA,6210,6210
1987,5,NA,6190,6190
1987,6,NA,6240,6240
1987,7,NA,6170,6170
1987,8,NA,6130,6130
1987,9,NA,5990,5990
1987,10,NA,5910,5910
1987,11,NA,5840,5840
1987,12,NA,5710,5710
1988,1,NA,5410,5410
1988,2,NA,5310,5310
1988,3,NA,5600,5600
1988,4,NA,5830,5830
1988,5,NA,5860,5860
1988,6,NA,5870,5870
1988,7,NA,5780,5780
1988,8,NA,5730,5730
1988,9,NA,5610,5610
1988,10,NA,5590,5590
1988,11,NA,5490,5490
1988,12,NA,5630,5630
1989,1,NA,5430,5430
1989,2,NA,5150,5150
1989,3,NA,5290,5290
1989,4,NA,5510,5510
1989,5,NA,5580,5580
1989,6,NA,5540,5540
1989,7,NA,5590,5590
1989,8,NA,5580,5580
1989,9,NA,5570,5570
1989,10,NA,5440,5440
1989,11,NA,5350,5350
1989,12,NA,4780,4780
1990,1,NA,4870,4870
1990,2,NA,4950,4950
1990,3,NA,4950,4950
1990,4,NA,5160,5160
1990,5,NA,5270,5270
1990,6,NA,5360,5360
1990,7,NA,5530,5530
1990,8,NA,5490,5490
1990,9,NA,5420,5420
1990,10,NA,5370,5370
1990,11,NA,5400,5400
1990,12,NA,5360,5360
1991,1,NA,4870,4870
1991,2,NA,5050,5050
1991,3,NA,5160,5160
1991,4,NA,5420,5420
1991,5,NA,5580,5580
1991,6,NA,5690,5690
1991,7,NA,5710,5710
1991,8,NA,5680,5680
1991,9,NA,5560,5560
1991,10,NA,5450,5450
1991,11,NA,5450,5450
1991,12,NA,5600,5600
1992,1,NA,5250,5250
1992,2,NA,5090,5090
1992,3,NA,5400,5400
1992,4,NA,5480,5480
1992,5,NA,5580,5580
1992,6,NA,5540,5540
1992,7,NA,5460,5460
1992,8,NA,5430,5430
1992,9,NA,5310,5310
1992,10,NA,5410,5410
1992,11,NA,5280,5280
1992,12,NA,5440,5440
1993,1,NA,5260,5260
1993,2,NA,4960,4960
1993,3,NA,5100,5100
1993,4,NA,5260,5260
1993,5,NA,5640,5640
1993,6,NA,5830,5830
1993,7,NA,5950,5950
1993,8,NA,5960,5960
1993,9,NA,5930,5930
1993,10,NA,5880,5880
1993,11,NA,5840,5840
1993,12,NA,5800,5800
1994,1,NA,4630,4630
1994,2,NA,5000,5000
1994,3,NA,5580,5580
1994,4,NA,5670,5670
1994,5,NA,5780,5780
1994,6,NA,5780,5780
1994,7,NA,5800,5800
1994,8,NA,5830,5830
1994,9,NA,5870,5870
1994,10,NA,5820,5820
1994,11,NA,5780,5780
1994,12,NA,5770,5770
1995,1,NA,5550,5550
1995,2,NA,5060,5060
1995,3,NA,5240,5240
1995,4,NA,5500,5500
1995,5,NA,5620,5620
1995,6,NA,5690,5690
1995,7,NA,5580,5580
1995,8,NA,5600,5600
1995,9,NA,5650,5650
1995,10,NA,5480,5480
1995,11,NA,5590,5590
1995,12,NA,5340,5340
1996,1,NA,4420,4420
1996,2,NA,5110,5110
1996,3,NA,5190,5190
1996,4,NA,4730,4730
1996,5,NA,5720,5720
1996,6,NA,5780,5780
1996,7,NA,5930,5930
1996,8,NA,5920,5920
1996,9,NA,5870,5870
1996,10,NA,5860,5860
1996,11,NA,5970,5970
1996,12,NA,5760,5760
1997,1,NA,5380,5380
1997,2,NA,5570,5570
1997,3,NA,5780,5780
1997,4,NA,5950,5950
1997,5,NA,6130,6130
1997,6,NA,6080,6080
1997,7,NA,6240,6240
1997,8,NA,6320,6320
1997,9,NA,6310,6310
1997,10,NA,6230,6230
1997,11,NA,6090,6090
1997,12,NA,5930,5930
1998,1,NA,5640,5640
1998,2,NA,5620,5620
1998,3,NA,5640,5640
1998,4,NA,5820,5820
1998,5,NA,5860,5860
1998,6,NA,5900,5900
1998,7,NA,5900,5900
1998,8,NA,5790,5790
1998,9,NA,5770,5770
1998,10,NA,5670,5670
1998,11,NA,5550,5550
1998,12,NA,5520,5520
1999,1,NA,4700,4700
1999,2,NA,5260,5260
1999,3,NA,5030,5030
1999,4,NA,5210,5210
1999,5,NA,5200,5200
1999,6,NA,5280,5280
1999,7,NA,5380,5380
1999,8,NA,5470,5470
1999,9,NA,5300,5300
1999,10,NA,5220,5220
1999,11,NA,5160,5160
1999,12,NA,5010,5010
2000,1,NA,4560,4560
2000,2,NA,4320,4320
2000,3,NA,4940,4940
2000,4,NA,4900,4900
2000,5,NA,4870,4870
2000,6,NA,4890,4890
2000,7,NA,4890,4890
2000,8,NA,4900,4900
2000,9,NA,4960,4960
2000,10,NA,4920,4920
2000,11,NA,4840,4840
2000,12,NA,4550,4550
2001,1,NA,4160,4160
2001,2,NA,4500,4500
2001,3,NA,4650,4650
2001,4,NA,4660,4660
2001,5,NA,4830,4830
2001,6,NA,4970,4970
2001,7,NA,5030,5030
2001,8,NA,5030,5030
2001,9,NA,5050,5050
2001,10,NA,5040,5040
2001,11,NA,5160,5160
2001,12,NA,5040,5040
2002,1,NA,5020,5020
2002,2,NA,4830,4830
2002,3,NA,4930,4930
2002,4,NA,4890,4890
2002,5,NA,5130,5130
2002,6,NA,5260,5260
2002,7,NA,5370,5370
2002,8,NA,5410,5410
2002,9,NA,5320,5320
2002,10,NA,5280,5280
2002,11,NA,5180,5180
2002,12,NA,4960,4960
2003,1,NA,4430,4430
2003,2,NA,4070,4070
2003,3,NA,4470,4470
2003,4,NA,4710,4710
2003,5,NA,4820,4820
2003,6,NA,4890,4890
2003,7,NA,4900,4900
2003,8,NA,4910,4910
2003,9,NA,4790,4790
2003,10,NA,4840,4840
2003,11,NA,4890,4890
2003,12,NA,4860,4860
2004,1,NA,4290,4290
2004,2,NA,4510,4510
2004,3,NA,4780,4780
2004,4,NA,4940,4940
2004,5,NA,4970,4970
2004,6,NA,5250,5250
2004,7,NA,5390,5390
2004,8,NA,5300,5300
2004,9,NA,5240,5240
2004,10,NA,5200,5200
2004,11,NA,5230,5230
2004,12,NA,5060,5060
2005,1,NA,4480,4480
2005,2,NA,4720,4720
2005,3,NA,4810,4810
2005,4,NA,5020,5020
2005,5,NA,5030,5030
2005,6,NA,5090,5090
2005,7,NA,5160,5160
2005,8,NA,5150,5150
2005,9,NA,5060,5060
2005,10,NA,5060,5060
2005,11,NA,4860,4860
2005,12,NA,4770,4770
2006,1,NA,4790,4790
2006,2,NA,4810,4810
2006,3,NA,4820,4820
2006,4,NA,4940,4940
2006,5,NA,4970,4970
2006,6,NA,5040,5040
2006,7,NA,4970,4970
2006,8,NA,4980,4980
2006,9,NA,4870,4870
2006,10,NA,4850,4850
2006,11,NA,4820,4820
2006,12,NA,4790,4790
2007,1,NA,4730,4730
2007,2,NA,4160,4160
2007,3,NA,4530,4530
2007,4,NA,4860,4860
2007,5,NA,4830,4830
2007,6,NA,4920,4920
2007,7,NA,4990,4990
2007,8,NA,4920,4920
2007,9,NA,4840,4840
2007,10,NA,4830,4830
2007,11,NA,4830,4830
2007,12,NA,4600,4600
2008,1,NA,4430,4430
2008,2,NA,4210,4210
2008,3,NA,4260,4260
2008,4,NA,4530,4530
2008,5,NA,4870,4870
2008,6,NA,4970,4970
2008,7,NA,5080,5080
2008,8,NA,5210,5210
2008,9,NA,5130,5130
2008,10,NA,5170,5170
2008,11,5149.522451,5060,5060
2008,12,4852.777397,4790,4790
2009,1,4477.725065,4340,NA
2009,2,4742.99385,4570,NA
2009,3,5008.816703,4780,NA
2009,4,5219.194204,5010,NA
2009,5,5272.295577,5170,NA
2009,6,5431.268979,5300,NA
2009,7,5418.527493,5370,NA
2009,8,5368.235966,5370,NA
2009,9,5392.927078,5370,NA
2009,10,5351.624193,5300,NA
2009,11,5416.973599,5390,NA
2009,12,5318.833663,5280,NA
2010,1,4727.827588,4570,NA
2010,2,4171.914929,4260,NA
2010,3,5057.520125,4880,NA
2010,4,5261.12073,5140,NA
2010,5,5100.614902,5040,NA
2010,6,5055.342741,5030,NA
2010,7,5103.659997,5150,NA
2010,8,5204.812395,5190,NA
2010,9,5255.485385,5180,NA
2010,10,5231.524973,5120,NA
2010,11,5148.6496,4960,NA
2010,12,5024.521149,4900,NA
2011,1,4147.574835,4010,NA
2011,2,3884.344227,3800,NA
2011,3,4311.644708,4060,NA
2011,4,4861.915969,4630,NA
2011,5,4962.043558,4730,NA
2011,6,5009.953086,4810,NA
2011,7,4938.25193,5000,NA
2011,8,5144.339338,5060,NA
2011,9,5063.121341,4920,NA
2011,10,5066.282808,4920,NA
2011,11,4999.839257,4860,NA
2011,12,4800.072728,4590,NA
2012,1,4742.030138,4590,NA
2012,2,4813.769111,4640,NA
2012,3,4859.362802,4640,NA
2012,4,5122.810551,4900,NA
2012,5,5003.705228,4880,NA
2012,6,4967.081659,4900,NA
2012,7,4911.666012,4900,NA
2012,8,4975.934211,4880,NA
2012,9,4893.680067,4760,NA
2012,10,4870.661274,4710,NA
2012,11,4784.626517,4570,NA
2012,12,4712.018492,4500,NA
2013,1,4407.09773,4280,NA
2013,2,4273.450389,4050,NA
2013,3,4638.773324,4420,NA
2013,4,4671.013297,4460,NA
2013,5,5009.659828,4830,NA
2013,6,4994.815238,4880,NA
2013,7,4872.016432,4760,NA
2013,8,5001.480887,4890,NA
2013,9,5024.133556,4910,NA
2013,10,4966.642662,4870,NA
2013,11,5081.029792,4970,NA
2013,12,4969.632248,4910,NA
2014,1,3814.544898,3940,NA
2014,2,4104.535342,4370,NA
2014,3,4757.922926,4570,NA
2014,4,5127.63818,4910,NA
2014,5,5238.488732,5120,NA
2014,6,5372.128069,5260,NA
2014,7,5476.535756,5400,NA
2014,8,5451.548651,5420,NA
2014,9,5534.608257,5490,NA
2014,10,5745.716537,5640,NA
2014,11,5757.892711,5670,NA
2014,12,5785.991923,5740,NA
2015,1,4460,4500,NA
2015,2,4000,4450,NA
2015,3,5210,5210,NA
2015,4,5830,5630,NA
2015,5,5790,5700,NA
2015,6,5780,5640,NA
2015,7,5600,5530,NA
2015,8,5660,5620,NA
2015,9,5740,5670,NA
2015,10,5690,5570,NA
2015,11,5680,5600,NA
2015,12,5710,5630,NA
2016,1,5760,5660,NA
2016,2,5630,5440,NA
2016,3,5890,5590,NA
2016,4,6110,5760,NA
2016,5,6020,5860,NA
2016,6,5950,5900,NA
2016,7,5890,5890,NA
2016,8,5810,5850,NA
2016,9,5960,5830,NA
2016,10,5880,5760,NA
2016,11,5940,5730,NA
2016,12,5640,5600,NA
2017,1,5500,5460,NA
2017,2,5610,5430,NA
2017,3,5840,5840,NA
2017,4,5820,5820,NA
2017,5,5870,5820,NA
2017,6,5735,5730,NA
2017,7,6070,6070,NA
2017,8,6140,6150,NA
2017,9,6180,6180,NA
2017,10,6027,6030,NA
2017,11,6132,6130,NA
2017,12,5963,5960,NA
2018,1,4873,5290,NA
2018,2,5360,5680,NA
2018,3,6223,6400,NA
2018,4,6000,6240,NA
2018,5,5994,6300,NA
2018,6,6126,6460,NA
2018,7,5925,6290,NA
2018,8,5949,6280,NA
2018,9,6074,6380,NA
2018,10,6255,6510,NA
2018,11,6200,6430,NA
2018,12,6041,6270,NA
2019,1,5127,5650,NA
2019,2,5267,5660,NA
2019,3,6039,6300,NA
2019,4,6468,6570,NA
2019,5,6786,6790,NA
2019,6,6958,6960,NA
2019,7,7054,7060,NA
2019,8,7146,7150,NA
2019,9,6926,6930,NA
2019,10,7113,7120,NA
2019,11,7189,7190,NA
2019,12,7100,7100,NA
2020,1,7064,7070,NA
2020,2,7175,7180,NA
2020,3,7107,7110,NA
2020,4,7193,7190,NA
2020,5,7438,NA,NA
